******,******,******,학년,교과/구분,개설대학,교과목/번호,교과목명,학점,강의,실습,담당/교수,강의시간,강의시간/(실제시간),강의실,수강/정원,수강/신청,수강꾸러미/신청,수강꾸러미/신청가능여부,비고,강의방식,
교양/교직/군사학/창업,첨성인기초 - 글쓰기,NULL,1,기본소양,공과대학,CLTR205022,대학글쓰기,3,3,0,권영호,화5B/6A/6B/목5B/6A/6B,화13:30 ~ 15:00/목13:30 ~ 15:00,공대8호관-109,30,15,15,Y,인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 글쓰기,NULL,1,교양,공과대학,CLTR205025,대학글쓰기,3,3,0,김상모,월5B/6A/6B/금5B/6A/6B,월13:30 ~ 15:00/금13:30 ~ 15:00,공대12호관-114,30,30,27,Y,인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 글쓰기,NULL,1,교양,공과대학,CLTR205026,대학글쓰기,3,3,0,류희식,화5B/6A/6B/목5B/6A/6B,화13:30 ~ 15:00/목13:30 ~ 15:00,공대12호관-114,30,30,24,Y,인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 글쓰기,NULL,1,기본소양,공과대학,CLTR205027,대학글쓰기,3,3,0,이원동,화7A/7B/8A/목7A/7B/8A,화15:00 ~ 16:30/목15:00 ~ 16:30,공대12호관-101,30,30,37,Y,인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 글쓰기,NULL,1,기본소양,공과대학,CLTR205028,대학글쓰기,3,3,0,서정현,화7A/7B/8A/목7A/7B/8A,화15:00 ~ 16:30/목15:00 ~ 16:30,공대1호관-413,32,32,32,Y,인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 글쓰기,NULL,1,기본소양,공과대학,CLTR205029,대학글쓰기,3,3,0,김도경,화7A/7B/8A/목7A/7B/8A,화15:00 ~ 16:30/목15:00 ~ 16:30,공대12호관-215,30,30,39,Y,인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 글쓰기,NULL,1,교양,자율전공부,CLTR205031,대학글쓰기,3,3,0,김재웅,월8B/9A/9B/수7A/7B/8A,월16:30 ~ 18:00/수15:00 ~ 16:30,KNU글로벌프라자-501,30,30,14,Y,인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 글쓰기,NULL,1,교양,자율전공부,CLTR205032,대학글쓰기,3,3,0,이영희,월8B/9A/9B/수7A/7B/8A,월16:30 ~ 18:00/수15:00 ~ 16:30,KNU글로벌프라자-502,30,0,0,Y,인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 글쓰기,NULL,1,교양,자율전공부,CLTR205033,대학글쓰기,3,3,0,김경미,월8B/9A/9B/수7A/7B/8A,월16:30 ~ 18:00/수15:00 ~ 16:30,KNU글로벌프라자-510,30,29,24,Y,인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 글쓰기,NULL,1,교양,자율전공부,CLTR205034,대학글쓰기,3,3,0,김동현,월2B/3A/3B/금1A/1B/2A,월10:30 ~ 12:00/금09:00 ~ 10:30,KNU글로벌프라자-501,30,29,5,Y,인문교양,대면,
